Date,Name,Code,Start_Price,Reason
2026-02-23,光线传媒,300251,27.22,新闻面中《飞驰人生3》票房破26亿形成直接利好，且该股当日涨幅15.39%领涨列表，成交额109.7亿显示资金关注度高，符合影视文化热点。
2026-02-24,光线传媒,300251,27.22,新闻面显示春节假期旅游消费数据强劲（河南接待游客6281万人次），且近期影视传媒板块受春节档票房催化；该股当日涨幅15.39%居列表首位，成交额109.7亿显示资金关注度高，符合消费复苏及文化热点主线。
2026-02-26,胜宏科技,300476,292.58,近期新闻中，英伟达相关动态（新技术扩展、Grace Blackwell系统高占比、与OpenAI谈判）及“AI需求拉动被动元器件涨价”、“温控新技术提升AI硬件性能”等均指向AI算力产业链高景气。候选股中胜宏科技为英伟达核心PCB供应商，今日涨幅（9.31%）与成交额（174.9亿）均居首位，资金关注度最高，与AI硬件热点契合度最强。
2026-02-27,天孚通信,300394,362.02,近期谷歌与Meta达成数十亿美元AI芯片交易、戴尔科技大涨等新闻显示AI算力基础设施需求强劲，天孚通信作为光模块上游核心器件（光引擎、高速光器件）供应商，直接受益于AI数据中心建设与高速光互联升级，且当日涨幅6.01%、成交额156.6亿，资金关注度高，符合当前AI硬件热点。
2026-03-02,云南锗业,002428,48.26,近期新闻显示国际地缘政治紧张（美以袭击伊朗、红海护航），钨价一年涨逾4倍，云南锗业作为稀有金属标的，兼具战略资源属性与涨价逻辑，且今日涨幅（8.72%）与成交额（79.6亿）在列表中表现最强，符合市场对资源品的避险与通胀交易热点。
2026-03-09,香农芯创,300475,155.04,近期新闻显示地缘冲突升级导致国际油价暴涨、美股期货大跌，市场避险情绪升温并可能转向资源及硬资产。候选股中香农芯创作为半导体供应链核心企业，兼具科技与资源属性，当日涨幅最高（12.06%）且成交活跃（82.5亿），资金关注度显著，在波动市场中更易受避险资金青睐。
2026-03-10,网宿科技,300017,20.03,近期新闻显示国际地缘政治紧张、油价波动及美股期货下跌，市场避险情绪可能升温，同时‘耐心资本服务硬科技’政策导向明确。网宿科技作为边缘计算与CDN龙头，兼具‘硬科技’属性与数字经济基础设施角色，且今日涨幅(+12.21%)与成交额(118.2亿)均显著领先，资金关注度高，符合科技避险与政策热点双主线。
2026-03-11,天孚通信,300394,340.48,涨幅最高(10.92%)且成交活跃(127.5亿)，结合近期全球地缘紧张（霍尔木兹海峡事件、原油上涨）及AI算力需求，光模块作为高景气赛道直接受益，市场资金选择明确。
2026-03-13,协鑫能科,002015,21.36,涨幅9.99%强势涨停，成交额72.5亿显示资金高度聚焦，近期新闻中‘供应链开始出现波动’、‘道达尔暂停部分油气生产’等能源供应扰动事件，可能强化市场对新能源/替代能源的关注，该股作为清洁能源运营商直接受益于能源安全主题。
2026-03-16,新易盛,300502,394.03,近期新闻中'上海交通大学教授、图灵量子创始人兼CEO金贤敏：公司下一代光量子计算机有望实现上千个光量子比特'直接指向光量子计算与光通信产业链，新易盛作为光模块龙头，技术路径与光量子计算高度相关，且今日涨幅4.03%、成交159.1亿，资金关注度与新闻热点匹配度最高。
2026-03-18,沪电股份,002463,85.59,近期新闻‘投资110亿！PCB龙头拟投建生产基地’直接指向PCB行业扩张，沪电股份作为PCB龙头，当日逆市上涨且成交活跃，符合热点且资金关注度高。
2026-03-28,赣锋锂业,002460,79.67,近期新闻显示中东局势紧张推高油价及大宗商品价格，并可能引发避险情绪。赣锋锂业作为锂资源龙头，兼具新能源金属属性与资源品特征，在油价上涨、地缘风险加剧的背景下，更易吸引资金关注其资源战略价值。其当日涨幅10%封板且成交额居前，显示市场资金已形成共识性流入，短期动量最强。
2026-03-29,赣锋锂业,002460,79.67,近期中东地缘冲突升级（伊朗、以色列、胡塞武装相关新闻），可能推高原油及大宗商品价格，并引发避险情绪。赣锋锂业作为锂资源龙头，兼具新能源金属属性与资源稀缺性，在冲突背景下更易受资金关注。今日涨幅10%封板且成交额超100亿，市场资金攻击迹象明显，量价表现最强，符合事件驱动下的资源股逻辑。
2026-03-30,赣锋锂业,002460,79.67,近期地缘政治紧张局势升级，特别是中东冲突持续，可能引发能源及关键矿产资源供应担忧。赣锋锂业作为全球锂业龙头，锂资源具有重要战略属性，且在候选股中涨幅最大（10%）、成交活跃（100.7亿），显示资金在避险及资源安全逻辑下集中流入，与市场对资源安全的关注热点高度契合。
2026-03-31,西部材料,002149,53.15,近期新闻显示地缘政治紧张局势升级（特朗普威胁伊朗、霍尔木兹海峡变数），油价大涨，可能推动军工及战略金属板块关注度；西部材料当日涨幅最高（+7.48%），成交活跃（55.3亿），且属于稀有金属材料领域，在局势紧张时易受资金追捧。
2026-04-01,平潭发展,000592,12.78,候选列表中唯一涨停股（+9.98%），成交额55.7亿显示资金关注度高，技术面强势突破；近期地缘冲突新闻频发（伊朗、黎以、美军空袭等），可能催化军工/防御板块情绪，该股具有国防军工概念且当日表现与市场普跌形成鲜明对比。
2026-04-02,天孚通信,300394,333.33,近期新闻显示中东地缘政治紧张局势升级，可能刺激军工及国防通信需求。天孚通信作为光通信器件核心供应商，在高速光模块产业链中占据关键位置，且当日涨幅（10.52%）与成交额（136.8亿）均居前列，显示资金强势介入，符合市场对国防通信及光模块热点的追逐。
2026-04-03,光库科技,300620,200.07,近期新闻涉及中东地缘紧张及电子战飞机部署，光库科技主营光纤激光器件，在激光雷达、量子通信及国防领域有应用，与潜在国防、通信安全热点关联度最高，且当日涨幅7.0%领涨列表，成交活跃，显示资金关注。
2026-04-04,云南锗业,002428,51.71,近期地缘政治紧张局势升级，伊朗与美以冲突加剧，可能引发市场对战略资源（如稀有金属）的避险及供应担忧。云南锗业作为锗金属重要生产商，锗广泛应用于红外光学、半导体及国防领域，与当前军事冲突热点潜在相关，且该股当日涨幅最高（8.86%），成交活跃，资金关注度显著。
2026-04-05,云南锗业,002428,51.71,近期新闻面显示中东地缘政治紧张局势显著升级，涉及伊朗、以色列及美国等多方军事对抗与袭击事件。云南锗业作为稀有金属锗的生产商，锗是重要的战略资源，广泛应用于红外光学、光纤通信、航空航天及国防军工领域。地缘政治风险加剧通常引发市场对战略资源供应链安全的担忧，可能推动锗等战略金属的短期价格预期与关注度上升。该股当日涨幅（8.86%）与成交额（55.7亿）在列表中均居前列，显示资金关注度较高，且其业务属性与当前地缘冲突引发的资源安全主题契合度最高。
2026-04-06,中油资本,000617,10.70,近期新闻面显示中东地缘政治紧张、原油供应波动（霍尔木兹海峡通航、产油国增产、乌斯季卢加港恢复装卸），能源与金融避险情绪升温。中油资本作为油气产业链资本平台，兼具能源与金融属性，当日涨幅最高（7.86%）且成交活跃（84.8亿），资金关注度显著，最直接受益于能源市场波动预期。
2026-04-07,云南锗业,002428,51.71,近期新闻显示地缘政治紧张局势升级（伊朗军官阵亡、霍尔木兹海峡争端、沙特上调出口溢价），油价上涨预期强化，且高盛上调铜价预测，利好资源板块。云南锗业作为稀有金属标的，兼具战略资源属性，当日涨幅最高（8.86%），成交活跃（55.7亿），资金关注度显著，符合市场对资源品的避险与通胀交易逻辑。
2026-04-08,中油资本,000617,11.53,近期新闻聚焦中东地缘政治局势（美伊谈判、以色列遭袭等），引发油价波动与避险情绪。中油资本作为油气资本服务标的，直接受益于油价预期变化与区域风险溢价，且当日涨幅（7.76%）与成交额（92.6亿）均显著领先，资金关注度最高，符合事件驱动逻辑。
2026-04-09,中际旭创,300308,688.14,近期新闻中‘我国成功发射卫星互联网低轨21组卫星’直接强化了光模块（CPO）作为AI与算力基础设施的核心逻辑，中际旭创作为板块龙头，当日涨幅与成交额均居前列，显示资金高度聚焦，且技术面强势突破，最契合卫星互联网/算力热点。
2026-04-10,光迅科技,002281,108.09,近期新闻聚焦霍尔木兹海峡航运安全与地缘紧张，光通信作为关键基础设施受关注；该股今日涨停且成交活跃，在光通信板块中强度突出，契合市场对通信安全及供应链稳定的热点博弈。
2026-04-11,新易盛,300502,522.50,近期新闻中特斯拉FSD在荷兰获批，显示自动驾驶与AI技术进展持续受关注，可能提振光模块等AI算力基础设施需求。候选列表中，新易盛作为光模块核心标的，当日涨幅(6.63%)与成交额(225.9亿)均居前列，显示资金关注度高，且与AI算力热点关联度最强。
2026-04-12,德明利,001309,447.24,近期新闻显示霍尔木兹海峡地缘政治风险加剧，可能影响全球半导体供应链及存储产品运输；德明利主营存储芯片，且当日涨幅封板（10.0%）、成交活跃（101.9亿），市场资金可能博弈供应链紧张预期，技术面与新闻面共振。
2026-05-07,江波龙,301308,481.34,涨幅20%涨停，成交额123.6亿，AI与存储芯片需求持续受新闻面（如Scale AI获五角大楼合同、英伟达市值回升）催化，存储板块情绪最强。
2026-05-08,光迅科技,002281,164.29,中东局势升级推升军工与通信安全需求，光迅科技作为光通信龙头涨幅8.93%且成交活跃，直接受益于地缘冲突引发的国防通信与自主可控热点。
2026-05-09,光迅科技,002281,180.72,涨停且成交活跃，光通信板块受AI算力需求及‘中国天眼’国产化新闻催化，市场热点聚焦光模块与自主可控方向。
2026-05-11,光迅科技,002281,180.72,涨停且成交活跃，叠加算电协同政策与AI芯片IPO利好，光通信板块受资金追捧
2026-05-22,阳光电源,300274,165.38,近期新闻明确提及阳光电源再揽中东7.5GWh超级大单，属于新能源储能出海重大利好，且当日跌幅仅-1.09%，相对抗跌，资金关注度高，符合当前市场热点。
2026-05-26,新易盛,300502,659.01,涨幅8.61%领涨AI光模块板块，成交额301亿居首，与近期国家数据局‘词元经济’及AI算力需求热点高度契合，是当前市场最明确的AI‘卖铲’受益标的。
2026-05-28,中际旭创,300308,1111.37,AI算力需求持续超预期，Marvell因AI需求强劲上调展望，算力租赁商Nebius盘后大涨，光模块龙头直接受益于AI基建扩张，且成交活跃、涨幅稳健。
2026-05-30,天孚通信,300394,455.20,AI板块新闻密集利好（软件股创2001年来最佳月表现、戴尔服务器股大涨），天孚通信作为光模块核心标的，涨幅为正且成交活跃，符合当前AI热点。
2026-05-31,中际旭创,300308,1161.16,软银豪掷5900亿建设欧洲最大算力集群，叠加卫星互联网技术试验卫星成功发射，直接利好光模块龙头中际旭创，其成交额最大且为AI算力核心标的，符合当前热点。
2026-06-01,风华高科,000636,53.03,涨幅9.03%领涨列表，且近期存储芯片产业‘超级周期’新闻利好半导体板块，风华高科作为MLCC龙头受益于行业景气度回升与国产替代逻辑。
2026-06-02,京东方Ａ,000725,5.36,涨幅4.89%领涨且成交额183亿，逆势放量；AI基建扩张（谷歌800亿美元计划）直接拉动面板需求，京东方作为全球面板龙头受益确定性高，且当前市场避险情绪下资金偏好低位放量品种。
2026-06-15,北方华创,002371,667.19,涨幅4.66%领涨半导体设备板块，受益于AI算力扩张及国产替代政策催化，与近期半导体行业加码产能新闻高度契合。
